index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
5;Abbateggio;Abruzzo;359;42.20443765916116;14.022337781777518;Abbateggio, Abruzzo;;False
13;Acciano;Abruzzo;241;42.19287043118605;13.70677449942375;Acciano, Abruzzo;;False
78;Aielli;Abruzzo;1368;42.07529132324339;13.582029402566445;Aielli, Abruzzo;;False
94;Alanno;Abruzzo;3320;42.29092684382693;13.985966278280545;Alanno, Abruzzo;;False
99;Alba Adriatica;Abruzzo;13319;42.82242807550368;13.907554810979654;Alba Adriatica, Abruzzo;;False
146;Alfedena;Abruzzo;913;41.71558515799135;14.009651594744533;Alfedena, Abruzzo;;False
188;Altino;Abruzzo;2990;42.106092337837694;14.348840161724013;Altino, Abruzzo;;False
225;Ancarano;Abruzzo;1865;42.840486838693955;13.74760875198926;Ancarano, Abruzzo;;False
262;Anversa degli Abruzzi;Abruzzo;301;41.987970304086254;13.811351291533244;Anversa degli Abruzzi, Abruzzo;;False
299;Archi;Abruzzo;1914;42.08101354895247;14.384843314450908;Archi, Abruzzo;;False
326;Ari;Abruzzo;1063;42.2862530969316;14.256252288513512;Ari, Abruzzo;;False
330;Arielli;Abruzzo;1036;42.25717825254043;14.301070554718008;Arielli, Abruzzo;;False
359;Arsita;Abruzzo;728;42.47296966894486;13.775861270832216;Arsita, Abruzzo;;False
391;Ateleta;Abruzzo;1078;41.873123300467064;14.173396374486646;Ateleta, Abruzzo;;False
394;Atessa;Abruzzo;10266;42.08700320605387;14.460421420998694;Atessa, Abruzzo;;False
397;Atri;Abruzzo;9830;42.58409892730213;13.98025309552786;Atri, Abruzzo;;False
417;Avezzano;Abruzzo;40887;42.037202326743;13.446193775086048;Avezzano, Abruzzo;;False
490;Balsorano;Abruzzo;3232;41.799560400548366;13.5837559189411;Balsorano, Abruzzo;;False
529;Barete;Abruzzo;637;42.44934557594541;13.275060927221258;Barete, Abruzzo;;False
539;Barisciano;Abruzzo;1660;42.34880089386954;13.584460195854804;Barisciano, Abruzzo;;False
548;Barrea;Abruzzo;690;41.768089183178034;13.978070555029436;Barrea, Abruzzo;;False
557;Basciano;Abruzzo;2316;42.587440005834424;13.735447608697482;Basciano, Abruzzo;;False
600;Bellante;Abruzzo;6857;42.74101688690214;13.81009569412042;Bellante, Abruzzo;;False
702;Bisegna;Abruzzo;212;41.914611285569414;13.775222951114584;Bisegna, Abruzzo;;False
703;Bisenti;Abruzzo;1636;42.52822701134045;13.804508846905344;Bisenti, Abruzzo;;False
740;Bolognano;Abruzzo;992;42.2138319524431;13.950335527626123;Bolognano, Abruzzo;;False
750;Bomba;Abruzzo;696;42.03803936419512;14.369316504085916;Bomba, Abruzzo;;False
835;Borrello;Abruzzo;338;41.914177700885546;14.313855360346851;Borrello, Abruzzo;;False
928;Brittoli;Abruzzo;240;42.30490806080993;13.854422469995928;Brittoli, Abruzzo;;False
