index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
1;Aa en Hunze;Drenthe;25243.0;53.010485;6.749528;Aa en Hunze, Drenthe;;False
2;Aalburg;Noord-Brabant;12859.0;51.751294;5.057085;Aalburg, Noord-Brabant;;False
3;Aalsmeer;Noord-Holland;30792.0;52.262164;4.761922;Aalsmeer, Noord-Holland;;False
4;Aalten;Gelderland;27030.0;51.926667;6.580678;Aalten, Gelderland;;False
5;Achtkarspelen;Friesland;28002.0;53.210357;6.153565;Achtkarspelen, Friesland;;False
6;Alblasserdam;Zuid-Holland;19822.0;51.870337;4.670202;Alblasserdam, Zuid-Holland;;False
7;Albrandswaard;Zuid-Holland;25044.0;51.858068;4.423187;Albrandswaard, Zuid-Holland;;False
8;Alkmaar;Noord-Holland;94906.0;52.632842;4.755037;Alkmaar, Noord-Holland;;False
9;Almelo;Overijssel;72435.0;52.367027;6.668492;Almelo, Overijssel;;False
10;Almere;Flevoland;196156.0;52.350785;5.264702;Almere, Flevoland;;False
11;Alphen aan den Rijn;Zuid-Holland;106809.0;52.111222;4.647251;Alphen aan den Rijn, Zuid-Holland;;False
12;Alphen-Chaam;Noord-Brabant;9712.0;51.509135;4.861589;Alphen-Chaam, Noord-Brabant;;False
13;Ameland;Friesland;3565.0;53.440564;5.658766;Ameland, Friesland;;False
14;Amersfoort;Utrecht;150943.0;52.156111;5.387827;Amersfoort, Utrecht;;False
15;Amstelveen;Noord-Holland;85135.0;52.311421;4.870087;Amstelveen, Noord-Holland;;False
16;Amsterdam;Noord-Holland;853312.0;52.370216;4.895168;Amsterdam, Noord-Holland;;False
17;Apeldoorn;Gelderland;157535.0;52.211157;5.969923;Apeldoorn, Gelderland;;False
18;Appingedam;Groningen;12049.0;53.320678;6.854422;Appingedam, Groningen;;False
19;Arnhem;Gelderland;150817.0;51.985103;5.89873;Arnhem, Gelderland;;True
20;Assen;Drenthe;67209.0;52.992753;6.564228;Assen, Drenthe;;True
21;Asten;Noord-Brabant;16479.0;51.402994;5.744078;Asten, Noord-Brabant;;False
22;Baarle-Nassau;Noord-Brabant;6617.0;51.445137;4.929523;Baarle-Nassau, Noord-Brabant;;False
23;Baarn;Utrecht;24344.0;52.213182;5.28641;Baarn, Utrecht;;False
24;Barendrecht;Zuid-Holland;47375.0;51.851509;4.548581;Barendrecht, Zuid-Holland;;False
25;Barneveld;Gelderland;54176.0;52.162147;5.65536;Barneveld, Gelderland;;False
26;Bedum;Groningen;10475.0;53.301675;6.599829;Bedum, Groningen;;False
27;Beek;Limburg;16268.0;50.939316;5.795647;Beek, Limburg;;False
28;Beemster;Noord-Holland;8919.0;52.547559;4.913332;Beemster, Noord-Holland;;False
29;Beesel;Limburg;13593.0;51.269698;6.046834;Beesel, Limburg;;False
30;Berg en Dal;Gelderland;18956.0;51.818121;5.920082;Berg en Dal, Gelderland;;False
31;Bergeijk;Noord-Brabant;18250.0;51.319716;5.3575;Bergeijk, Noord-Brabant;;False
32;Bergen (L.);Limburg;13230.0;51.599866;6.032998;Bergen (L.), Limburg;;False
33;Bergen (NH.);Noord-Holland;30075.0;52.674937;4.706395;Bergen (NH.), Noord-Holland;;False
34;Bergen op Zoom;Noord-Brabant;66423.0;51.494576;4.287162;Bergen op Zoom, Noord-Brabant;;False
35;Berkelland;Gelderland;44650.0;52.115157;6.561501;Berkelland, Gelderland;;False
36;Bernheze;Noord-Brabant;29703.0;51.660272;5.501401;Bernheze, Noord-Brabant;;False
37;Best;Noord-Brabant;28594.0;51.507764;5.397848;Best, Noord-Brabant;;False
38;Beuningen;Gelderland;25254.0;51.859724;5.769107;Beuningen, Gelderland;;False
39;Beverwijk;Noord-Holland;40052.0;52.486984;4.657447;Beverwijk, Noord-Holland;;False
40;Binnenmaas;Zuid-Holland;28682.0;51.796188;4.548157;Binnenmaas, Zuid-Holland;;False
41;Bladel;Noord-Brabant;19825.0;51.362963;5.213639;Bladel, Noord-Brabant;;False
42;Blaricum;Noord-Holland;9112.0;52.272669;5.24808;Blaricum, Noord-Holland;;False
43;Bloemendaal;Noord-Holland;22077.0;52.404947;4.620185;Bloemendaal, Noord-Holland;;False
44;Bodegraven-Reeuwijk;Zuid-Holland;32986.0;52.082326;4.746084;Bodegraven-Reeuwijk, Zuid-Holland;;False
45;Boekel;Noord-Brabant;10089.0;51.602879;5.674316;Boekel, Noord-Brabant;;False
46;Borger-Odoorn;Drenthe;25633.0;52.889372;6.888404;Borger-Odoorn, Drenthe;;False
47;Borne;Overijssel;21901.0;52.300237;6.753726;Borne, Overijssel;;False
48;Borsele;Zeeland;22592.0;51.447691;3.803318;Borsele, Zeeland;;False
49;Boxmeer;Noord-Brabant;28135.0;51.645269;5.956666;Boxmeer, Noord-Brabant;;False
50;Boxtel;Noord-Brabant;30325.0;51.601437;5.312177;Boxtel, Noord-Brabant;;False
51;Breda;Noord-Brabant;179999.0;51.571915;4.768323;Breda, Noord-Brabant;;False
52;Brielle;Zuid-Holland;16306.0;51.902582;4.163685;Brielle, Zuid-Holland;;False
53;Bronckhorst;Gelderland;36941.0;52.075595;6.180892;Bronckhorst, Gelderland;;False
54;Brummen;Gelderland;21169.0;52.090167;6.158015;Brummen, Gelderland;;False
55;Brunssum;Limburg;28914.0;50.948896;5.972166;Brunssum, Limburg;;False
56;Bunnik;Utrecht;14619.0;52.066528;5.200776;Bunnik, Utrecht;;False
57;Bunschoten;Utrecht;20547.0;52.240642;5.36707;Bunschoten, Utrecht;;False
58;Buren;Gelderland;25995.0;51.910389;5.334058;Buren, Gelderland;;False
59;Capelle aan den IJssel;Zuid-Holland;66177.0;51.938073;4.591778;Capelle aan den IJssel, Zuid-Holland;;False
60;Castricum;Noord-Holland;34244.0;52.545259;4.672735;Castricum, Noord-Holland;;False
61;Coevorden;Drenthe;35771.0;52.661357;6.741062;Coevorden, Drenthe;;False
62;Cranendonck;Noord-Brabant;20388.0;51.286922;5.596695;Cranendonck, Noord-Brabant;;False
63;Cromstrijen;Zuid-Holland;12748.0;51.736089;4.460849;Cromstrijen, Zuid-Holland;;False
64;Cuijk;Noord-Brabant;24780.0;51.728927;5.879209;Cuijk, Noord-Brabant;;False
65;Culemborg;Gelderland;27579.0;51.956108;5.240045;Culemborg, Gelderland;;False
66;Dalfsen;Overijssel;27655.0;52.507755;6.259667;Dalfsen, Overijssel;;False
67;Dantumadiel;Friesland;19035.0;53.272981;5.98593;Dantumadiel, Friesland;;False
68;De Bilt;Utrecht;42013.0;52.109272;5.180968;De Bilt, Utrecht;;False
69;De Fryske Marren;Friesland;51223.0;52.948003;5.791388;De Fryske Marren, Friesland;;False
70;De Marne;Groningen;10205.0;53.360934;6.380521;De Marne, Groningen;;False
71;De Ronde Venen;Utrecht;42648.0;52.20668;4.886773;De Ronde Venen, Utrecht;;False
72;De Wolden;Drenthe;23592.0;52.681979;6.366039;De Wolden, Drenthe;;False
73;Delft;Zuid-Holland;101493.0;52.011577;4.357068;Delft, Zuid-Holland;;False
74;Delfzijl;Groningen;25686.0;53.331027;6.92446;Delfzijl, Groningen;;False
75;Den Helder;Noord-Holland;56553.0;52.956281;4.760797;Den Helder, Noord-Holland;;False
76;Deurne;Noord-Brabant;31669.0;51.46422;5.795068;Deurne, Noord-Brabant;;False
77;Deventer;Overijssel;98327.0;52.266075;6.155217;Deventer, Overijssel;;False
78;Diemen;Noord-Holland;25980.0;52.338993;4.959189;Diemen, Noord-Holland;;False
79;Dinkelland;Overijssel;25937.0;52.407617;6.89726;Dinkelland, Overijssel;;False
80;Doesburg;Gelderland;11449.0;52.014288;6.139782;Doesburg, Gelderland;;False
81;Doetinchem;Gelderland;56350.0;51.964699;6.293774;Doetinchem, Gelderland;;False
82;Dongen;Noord-Brabant;25389.0;51.62871;4.938239;Dongen, Noord-Brabant;;False
83;Dongeradeel;Friesland;24183.0;53.324884;5.996639;Dongeradeel, Friesland;;False
84;Dordrecht;Zuid-Holland;118716.0;51.813298;4.690093;Dordrecht, Zuid-Holland;;False
85;Drechterland;Noord-Holland;19257.0;52.653307;5.183589;Drechterland, Noord-Holland;;False
86;Drimmelen;Noord-Brabant;26705.0;51.708552;4.80349;Drimmelen, Noord-Brabant;;False
87;Dronten;Flevoland;40451.0;52.534682;5.721809;Dronten, Flevoland;;False
88;Druten;Gelderland;18206.0;51.894084;5.594272;Druten, Gelderland;;False
89;Duiven;Gelderland;25580.0;51.947458;6.01795;Duiven, Gelderland;;False
90;Echt-Susteren;Limburg;31940.0;51.093224;5.907364;Echt-Susteren, Limburg;;False
91;Edam-Volendam;Noord-Holland;28934.0;52.504541;5.045998;Edam-Volendam, Noord-Holland;;False
92;Ede;Gelderland;110657.0;52.040168;5.664859;Ede, Gelderland;;False
93;Eemnes;Utrecht;8773.0;52.253746;5.261275;Eemnes, Utrecht;;False
94;Eemsmond;Groningen;15910.0;53.400344;6.64841;Eemsmond, Groningen;;False
95;Eersel;Noord-Brabant;18201.0;51.357808;5.315912;Eersel, Noord-Brabant;;False
96;Eijsden-Margraten;Limburg;24980.0;50.81996;5.821457;Eijsden-Margraten, Limburg;;False
97;Eindhoven;Noord-Brabant;220782.0;51.441642;5.469722;Eindhoven, Noord-Brabant;;False
98;Elburg;Gelderland;22658.0;52.449263;5.834519;Elburg, Gelderland;;False
99;Emmen;Drenthe;108003.0;52.713237;6.955777;Emmen, Drenthe;;False
100;Enkhuizen;Noord-Holland;18395.0;52.707566;5.27412;Enkhuizen, Noord-Holland;;False
101;Enschede;Overijssel;158542.0;52.221537;6.893662;Enschede, Overijssel;;False
