index;City;State;city-state;Latitude;Longitude;Population;AlternateNames;isStateCapital
0;Bardo;Dolnośląskie;Bardo, Dolnośląskie;50.505;16.74;2309;;False
1;Bielawa;Dolnośląskie;Bielawa, Dolnośląskie;50.684;16.612;28027;;False
2;Bierutów;Dolnośląskie;Bierutów, Dolnośląskie;51.125;17.547;4459;;False
3;Bogatynia;Dolnośląskie;Bogatynia, Dolnośląskie;50.907;14.956;16020;;False
4;Boguszów-Gorce;Dolnośląskie;Boguszów-Gorce, Dolnośląskie;50.756;16.205;14166;;False
5;Bolesławiec;Dolnośląskie;Bolesławiec, Dolnośląskie;51.263;15.565;37055;;False
6;Bolków;Dolnośląskie;Bolków, Dolnośląskie;50.925;16.104;4632;;False
7;Brzeg Dolny;Dolnośląskie;Brzeg Dolny, Dolnośląskie;51.273;16.709;12536;;False
8;Bystrzyca Kłodzka;Dolnośląskie;Bystrzyca Kłodzka, Dolnośląskie;50.299;16.642;8939;;False
9;Chocianów;Dolnośląskie;Chocianów, Dolnośląskie;51.417;15.905;7356;;False
10;Chojnów;Dolnośląskie;Chojnów, Dolnośląskie;51.273;15.937;12361;;False
11;Duszniki-Zdrój;Dolnośląskie;Duszniki-Zdrój, Dolnośląskie;50.396;16.389;4001;;False
12;Dzierżoniów;Dolnośląskie;Dzierżoniów, Dolnośląskie;50.728;16.651;30614;;False
13;Głogów;Dolnośląskie;Głogów, Dolnośląskie;51.663;16.093;62049;;False
14;Głuszyca;Dolnośląskie;Głuszyca, Dolnośląskie;50.685;16.372;5924;;False
15;Góra;Dolnośląskie;Góra, Dolnośląskie;51.67;16.538;10700;;False
16;Gryfów Śląski;Dolnośląskie;Gryfów Śląski, Dolnośląskie;51.035;15.412;6104;;False
17;Jawor;Dolnośląskie;Jawor, Dolnośląskie;51.05;16.193;20503;;False
18;Jaworzyna Śląska;Dolnośląskie;Jaworzyna Śląska, Dolnośląskie;50.912;16.435;5035;;False
19;Jedlina-Zdrój;Dolnośląskie;Jedlina-Zdrój, Dolnośląskie;50.726;16.349;4623;;False
20;Jelcz-Laskowice;Dolnośląskie;Jelcz-Laskowice, Dolnośląskie;51.021;17.316;15004;;False
21;Jelenia Góra;Dolnośląskie;Jelenia Góra, Dolnośląskie;50.903;15.734;75124;;False
22;Kamieniec Ząbkowicki;Dolnośląskie;Kamieniec Ząbkowicki, Dolnośląskie;50.524;16.876;4309;;False
23;Kamienna Góra;Dolnośląskie;Kamienna Góra, Dolnośląskie;50.785;16.025;17110;;False
24;Karpacz;Dolnośląskie;Karpacz, Dolnośląskie;50.776;15.756;4208;;False
25;Kąty Wrocławskie;Dolnośląskie;Kąty Wrocławskie, Dolnośląskie;51.031;16.768;7168;;False
26;Kłodzko;Dolnośląskie;Kłodzko, Dolnośląskie;50.434;16.661;24810;;False
27;Kowary;Dolnośląskie;Kowary, Dolnośląskie;50.792;15.838;9745;;False
28;Kudowa-Zdrój;Dolnośląskie;Kudowa-Zdrój, Dolnośląskie;50.443;16.243;9280;;False
29;Lądek-Zdrój;Dolnośląskie;Lądek-Zdrój, Dolnośląskie;50.343;16.88;4946;;False
30;Legnica;Dolnośląskie;Legnica, Dolnośląskie;51.208;16.161;91948;;False
31;Leśna;Dolnośląskie;Leśna, Dolnośląskie;51.023;15.264;3995;;False
