index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
0114TB103;Löwenströmska lasarettet;Stockholm;605;59.541799;17.916415;Löwenströmska lasarettet, Stockholm;;False
0115TB101;Brottby;Stockholm;213;59.560959;18.238716;Brottby, Stockholm;;False
0115TB103;Ekskogen;Stockholm;278;59.641435;18.231124;Ekskogen, Stockholm;;False
0115TB104;Johannesudd;Stockholm;374;59.551617;18.030971;Johannesudd, Stockholm;;False
0115TB106;Kårsta;Stockholm;630;59.657503;18.274701;Kårsta, Stockholm;;False
0115TC108;Vallentuna;Stockholm;33918;59.533224;18.07645;Vallentuna, Stockholm;;False
0117TB101;Bammarboda;Stockholm;759;59.506469;18.468463;Bammarboda, Stockholm;;False
0117TB106;Rydbo;Stockholm;574;59.463626;18.185024;Rydbo, Stockholm;;False
0117TB107;Solberga;Stockholm;536;59.495278;18.356389;Solberga, Stockholm;;False
0117TB111;Svinninge;Stockholm;3325;59.449483;18.283511;Svinninge, Stockholm;;False
0117TC112;Åkersberga;Stockholm;37714;59.482351;18.294398;Åkersberga, Stockholm;;False
0120TB104;Betsede;Stockholm;346;59.329785;18.431584;Betsede, Stockholm;;False
0120TB114;Kopparmora;Stockholm;2366;59.335833;18.565;Kopparmora, Stockholm;;False
0120TB117;Norra Lagnö;Stockholm;340;59.354259;18.408346;Norra Lagnö, Stockholm;;False
0120TB119;Lugnet och Skälsmara;Stockholm;743;59.25587;18.535627;Lugnet och Skälsmara, Stockholm;;False
0120TB120;Stavsnäs;Stockholm;1898;59.288201;18.691782;Stavsnäs, Stockholm;;False
0120TB125;Ängsvik;Stockholm;425;59.240578;18.530325;Ängsvik, Stockholm;;False
0120TB126;Älvsala;Stockholm;534;59.297232;18.640445;Älvsala, Stockholm;;False
0120TC109;Gustavsberg;Stockholm;25034;59.325623;18.388514;Gustavsberg, Stockholm;;False
0125TB101;Drottningholm;Stockholm;320;59.324925;17.887332;Drottningholm, Stockholm;;False
0125TB103;Ekerö sommarstad;Stockholm;602;59.276032;17.7345;Ekerö sommarstad, Stockholm;;False
0125TB106;Kungsberga;Stockholm;876;59.405967;17.627952;Kungsberga, Stockholm;;False
0125TB107;Lilla Stenby;Stockholm;296;59.384764;17.524639;Lilla Stenby, Stockholm;;False
0125TB108;Lurudden;Stockholm;235;59.274685;17.70826;Lurudden, Stockholm;;False
0125TB109;Sundby;Stockholm;478;59.288476;17.719274;Sundby, Stockholm;;False
0125TB111;Stenhamra;Stockholm;3743;59.334749;17.687364;Stenhamra, Stockholm;;False
0125TB112;Söderby;Stockholm;297;59.3825;17.585278;Söderby, Stockholm;;False
0125TB115;Ölsta;Stockholm;715;59.400148;17.655159;Ölsta, Stockholm;;False
0125TC102;Ekerö;Stockholm;12270;59.355591;17.622421;Ekerö, Stockholm;;False
0126TB101;Gladö kvarn;Stockholm;979;59.1909;17.98233;Gladö kvarn, Stockholm;;False
0126TB102;Vidja;Stockholm;994;59.197165;18.059693;Vidja, Stockholm;;False
0127TB101;Norra Riksten;Stockholm;3592;59.189071;17.915707;Norra Riksten, Stockholm;;False
0127TB102;Sibble;Stockholm;344;59.112867;17.744928;Sibble, Stockholm;;False
0127TC103;Tumba;Stockholm;46893;59.200555;17.834312;Tumba, Stockholm;;False
0136TB101;Dalarö;Stockholm;1885;59.133518;18.405239;Dalarö, Stockholm;;False
0136TB103;Muskö;Stockholm;283;58.99583;18.114857;Muskö, Stockholm;;False
0136TB104;Norra Muskö;Stockholm;270;58.99583;18.114857;Norra Muskö, Stockholm;;False
0136TB105;Väländan;Stockholm;562;59.112957;17.987988;Väländan, Stockholm;;False
0136TB106;Västerhaninge;Stockholm;31941;59.122159;18.108596;Västerhaninge, Stockholm;;False
0136TB108;Årsta Havsbad;Stockholm;595;59.086226;18.165957;Årsta Havsbad, Stockholm;;False
0139TB103;Håbo-Tibble kyrkby;Stockholm;658;59.587032;17.661931;Håbo-Tibble kyrkby, Stockholm;;False
0139TB106;Rättarboda;Stockholm;2433;59.500988;17.604074;Rättarboda, Stockholm;;False
0140TB101;Finkarby;Stockholm;218;59.224838;17.308238;Finkarby, Stockholm;;False
0140TC102;Nykvarn;Stockholm;8508;59.196648;17.397728;Nykvarn, Stockholm;;False
0160TB101;Arninge;Stockholm;2789;59.464709;18.129501;Arninge, Stockholm;;False
0162TB101;Tranholmen;Stockholm;436;59.291823;17.779643;Tranholmen, Stockholm;;False
0180TC101;Stockholm;Stockholm;1652895;59.325117;18.071093;Stockholm, Stockholm;;True
0181TB101;Ekeby;Stockholm;991;59.183333;17.633333;Ekeby, Stockholm;;False
0181TB102;Hölö;Stockholm;1646;59.025492;17.535552;Hölö, Stockholm;;False
0181TB103;Järna;Stockholm;6110;59.083333;17.566667;Järna, Stockholm;;False
0181TB104;Mölnbo;Stockholm;1149;59.048603;17.41531;Mölnbo, Stockholm;;False
0181TB105;Pershagen;Stockholm;2242;59.152798;17.656331;Pershagen, Stockholm;;False
0181TB106;Sandviken;Stockholm;451;59.183333;17.633333;Sandviken, Stockholm;;False
0181TB107;Nibble;Stockholm;237;59.064191;17.6241;Nibble, Stockholm;;False
0181TB109;Tuna;Stockholm;419;59.253428;17.490446;Tuna, Stockholm;;False
