index;City;State;city-state;Latitude;Longitude;Population;AlternateNames;isStateCapital
0;Adana;Adana;Adana, Adana;37.47;35.593;2274106.0;;True
1;Ankara;Ankara;Ankara, Ankara;39.71;32.363;5782285.0;;True
2;Antalya;Antalya;Antalya, Antalya;36.76;30.945;2688004.0;;True
3;Aydın;Aydın;Aydın, Aydın;37.733;27.954;1148241.0;;True
4;Balıkesir;Balıkesir;Balıkesir, Balıkesir;39.87;27.763;1257590.0;;True
5;Bursa;Bursa;Bursa, Bursa;40.104;29.009;3194720.0;;True
6;Denizli;Denizli;Denizli, Denizli;37.678;29.331;1056332.0;;True
7;Diyarbakır;Diyarbakır;Diyarbakır, Diyarbakır;38.011;40.234;1804880.0;;True
8;Erzurum;Erzurum;Erzurum, Erzurum;40.022;41.108;749754.0;;True
9;Eskişehir;Eskişehir;Eskişehir, Eskişehir;39.734;30.59;906617.0;;True
10;Gaziantep;Gaziantep;Gaziantep, Gaziantep;37.118;37.262;2154051.0;;True
11;Antakya;Hatay;Antakya, Hatay;36.408;36.238;1686043.0;;True
12;İstanbul;İstanbul;İstanbul, İstanbul;41.194;28.964;15907951.0;;True
13;İzmir;İzmir;İzmir, İzmir;38.604;27.362;4462056.0;;True
14;Kayseri;Kayseri;Kayseri, Kayseri;38.797;35.384;1441523.0;;True
15;İzmit;Kocaeli;Kocaeli, Kocaeli;40.899;29.543;2079072.0;Kocaeli;True
16;Konya;Konya;Konya, Konya;38.013;32.848;2296347.0;;True
17;Malatya;Malatya;Malatya, Malatya;38.51;38.206;812580.0;;True
18;Manisa;Manisa;Manisa, Manisa;38.743;28.127;1468279.0;;True
19;Mardin;Mardin;Mardin, Mardin;37.324;40.891;870374.0;;True
20;Mersin;Mersin;Mersin, Mersin;36.933;34.493;1916432.0;;True
21;Muğla;Muğla;Muğla, Muğla;36.947;28.484;1048185.0;;True
22;Ordu;Ordu;Ordu, Ordu;40.737;37.399;763190.0;;True
23;Adapazarı;Sakarya;Sakarya, Sakarya;40.785;30.404;1080080.0;Sakarya;True
24;Samsun;Samsun;Samsun, Samsun;41.257;36.188;1368488.0;;True
25;Şanlıurfa;Şanlıurfa;Şanlıurfa, Şanlıurfa;37.345;39.037;2170110.0;;True
26;Tekirdağ;Tekirdağ;Tekirdağ, Tekirdağ;41.074;27.42;1142451.0;;True
27;Trabzon;Trabzon;Trabzon, Trabzon;40.811;39.813;818023.0;;True
28;Van;Van;Van, Van;38.546;43.588;1128749.0;;True
29;Adıyaman;Adıyaman;Adıyaman, Adıyaman;37.763;38.277;273241.0;;True
30;Akçatepe;Adıyaman;Akçatepe, Adıyaman;37.812;38.018;774.0;;False
31;Akıncılar;Adıyaman;Akıncılar, Adıyaman;37.757;38.818;1640.0;;False
32;Alidam;Adıyaman;Alidam, Adıyaman;37.913;38.876;780.0;;False
33;Atmalı;Adıyaman;Atmalı, Adıyaman;37.707;37.981;1632.0;;False
34;Bağbaşı;Adıyaman;Bağbaşı, Adıyaman;37.899;38.735;1145.0;;False
35;Balkar;Adıyaman;Balkar, Adıyaman;37.733;37.563;2035.0;;False
36;Belören;Adıyaman;Belören, Adıyaman;37.639;37.581;2020.0;;False
37;Besni;Adıyaman;Besni, Adıyaman;37.693;37.863;39111.0;;False
38;Bölükyayla;Adıyaman;Bölükyayla, Adıyaman;37.88;38.477;2044.0;;False
39;Büyükkavaklı;Adıyaman;Büyükkavaklı, Adıyaman;37.702;38.259;926.0;;False
40;Çakırhüyük;Adıyaman;Çakırhüyük, Adıyaman;37.56;37.856;1770.0;;False
41;Çamdere;Adıyaman;Çamdere, Adıyaman;37.945;38.524;1698.0;;False
42;Çatbahçe;Adıyaman;Çatbahçe, Adıyaman;37.972;38.606;961.0;;False
43;Çelikhan;Adıyaman;Çelikhan, Adıyaman;38.035;38.246;8463.0;;False
44;Çemberlitaş;Adıyaman;Çemberlitaş, Adıyaman;37.813;38.346;846.0;;False
45;Çomak;Adıyaman;Çomak, Adıyaman;37.524;37.992;877.0;;False
46;Erikli;Adıyaman;Erikli, Adıyaman;37.874;38.807;1623.0;;False
47;Gerger;Adıyaman;Gerger, Adıyaman;38.029;39.032;2757.0;;False
48;Gölbaşı;Adıyaman;Gölbaşı, Adıyaman;37.783;37.641;33976.0;;False
49;Gölyurt;Adıyaman;Gölyurt, Adıyaman;38.159;39.158;1226.0;;False
50;Gümüşkaya;Adıyaman;Gümüşkaya, Adıyaman;37.422;38.174;1758.0;;False
51;Güzelsu;Adıyaman;Güzelsu, Adıyaman;37.878;38.919;1080.0;;False
52;Harmanlı;Adıyaman;Harmanlı, Adıyaman;37.839;37.743;1527.0;;False
53;İnlice;Adıyaman;İnlice, Adıyaman;37.987;38.433;2058.0;;False
54;Kâhta;Adıyaman;Kâhta, Adıyaman;37.785;38.625;89195.0;;False
55;Karaburun;Adıyaman;Karaburun, Adıyaman;37.758;37.592;906.0;;False
56;Kaşlıca;Adıyaman;Kaşlıca, Adıyaman;37.803;37.973;1268.0;;False
57;Kayaönü;Adıyaman;Kayaönü, Adıyaman;37.804;38.193;1093.0;;False
58;Kesmetepe;Adıyaman;Kesmetepe, Adıyaman;37.547;37.843;1539.0;;False
59;Kömür;Adıyaman;Kömür, Adıyaman;37.866;38.427;2906.0;;False
60;Köseceli;Adıyaman;Köseceli, Adıyaman;37.558;37.73;1893.0;;False
61;Kutluca;Adıyaman;Kutluca, Adıyaman;37.594;37.976;962.0;;False
62;Kuyulu;Adıyaman;Kuyulu, Adıyaman;37.507;38.227;1501.0;;False
63;Menzil;Adıyaman;Menzil, Adıyaman;37.765;38.761;2432.0;Durak;False
64;Narince;Adıyaman;Narince, Adıyaman;37.874;38.75;1405.0;;False
65;Oyratlı;Adıyaman;Oyratlı, Adıyaman;37.633;37.841;1382.0;;False
66;Ozan;Adıyaman;Ozan, Adıyaman;37.831;37.699;949.0;;False
67;Pınarbaşı;Adıyaman;Pınarbaşı, Adıyaman;38.032;38.183;3036.0;;False
68;Salkımbağı;Adıyaman;Salkımbağı, Adıyaman;37.83;38.576;1465.0;;False
69;Şambayat;Adıyaman;Şambayat, Adıyaman;37.687;38.044;3372.0;;False
70;Samsat;Adıyaman;Samsat, Adıyaman;37.579;38.482;3790.0;;False
71;Sayören;Adıyaman;Sayören, Adıyaman;37.486;38.151;1501.0;;False
72;Sincik;Adıyaman;Sincik, Adıyaman;38.038;38.616;4448.0;;False
73;Suvarlı;Adıyaman;Suvarlı, Adıyaman;37.54;37.632;1911.0;;False
74;Tut;Adıyaman;Tut, Adıyaman;37.797;37.915;3295.0;;False
75;Üçgöz;Adıyaman;Üçgöz, Adıyaman;37.64;37.964;1009.0;;False
76;Uzunkuyu;Adıyaman;Uzunkuyu, Adıyaman;37.626;37.707;781.0;;False
77;Yapraklı;Adıyaman;Yapraklı, Adıyaman;37.829;38.818;768.0;;False
78;Yarmakaya;Adıyaman;Yarmakaya, Adıyaman;37.716;38.17;817.0;;False
79;Yaylakonak;Adıyaman;Yaylakonak, Adıyaman;37.82;38.081;1613.0;;False
80;Yukarınasırlı;Adıyaman;Yukarınasırlı, Adıyaman;37.654;37.606;835.0;;False
81;Adayazı;Afyon­karahisar;Adayazı, Afyon­karahisar;39.063;31.267;993.0;;False
82;Afyonkarahisar;Afyon­karahisar;Afyonkarahisar, Afyon­karahisar;38.756;30.539;256901.0;Afyon, Akcin, Ata, Erenler, Kışlacık, Sadıkbey;True
83;Ahmetpaşa;Afyon­karahisar;Ahmetpaşa, Afyon­karahisar;38.731;30.311;2595.0;;False
84;Akharım;Afyon­karahisar;Akharım, Afyon­karahisar;38.64;30.241;2584.0;;False
85;Akkonak;Afyon­karahisar;Akkonak, Afyon­karahisar;38.525;30.894;1108.0;;False
86;Akören;Afyon­karahisar;Akören, Afyon­karahisar;38.772;30.371;2986.0;;False
87;Akyuva;Afyon­karahisar;Akyuva, Afyon­karahisar;38.541;30.485;862.0;;False
88;Alanyurt;Afyon­karahisar;Alanyurt, Afyon­karahisar;38.997;30.745;899.0;;False
89;Anıtkaya;Afyon­karahisar;Anıtkaya, Afyon­karahisar;38.955;30.346;1676.0;;False
90;Aşağıpiribeyli;Afyon­karahisar;Aşağıpiribeyli, Afyon­karahisar;38.923;31.603;751.0;;False
91;Atlıhisar;Afyon­karahisar;Atlıhisar, Afyon­karahisar;38.45;30.583;1246.0;;False
92;Ayazini;Afyon­karahisar;Ayazini, Afyon­karahisar;39.014;30.574;915.0;;False
93;Balçıkhisar;Afyon­karahisar;Balçıkhisar, Afyon­karahisar;38.438;30.521;1275.0;;False
94;Başmakçı;Afyon­karahisar;Başmakçı, Afyon­karahisar;37.896;30.012;4906.0;;False
95;Bayat;Afyon­karahisar;Bayat, Afyon­karahisar;38.984;30.926;4194.0;;False
